"coder","category","item","code"
0,"industry","0_industry1","[{""text"":""Barber shops and beauty salons""},{""text"":""Printing and related activities""}]"
0,"industry","0_industry2","[{""text"":""Bookstores and news dealers""},{""text"":""Group Mention""},{""text"":""Internet publishing, broadcasting, search""}]"
0,"industry","0_industry3","[{""text"":""Used merchandise stores""}]"
0,"type-Comparison","0_type1",false
0,"type-Cause/Effect","0_type1",false
0,"type-Global Pattern","0_type1",true
0,"type","0_type1","[{""text"":""Global Pattern""}]"
0,"type-Comparison","0_type2",false
0,"type-Cause/Effect","0_type2",false
0,"type-Global Pattern","0_type2",true
0,"type","0_type2","[{""text"":""Global Pattern""}]"
0,"type-Comparison","0_type3",false
0,"type-Cause/Effect","0_type3",false
0,"type-Global Pattern","0_type3",true
0,"type","0_type3","[{""text"":""Global Pattern""}]"
0,"industry","1_industry1","[{""text"":""Computer systems design and programming""}]"
0,"industry","1_industry2","[{""text"":""Group Mention""},{""text"":""Processing of financial transactions""},{""text"":""Sales financing""}]"
0,"industry","1_industry3","[{""text"":""Biotechnology research""},{""text"":""Group Mention""}]"
0,"industry","1_industry4","[{""text"":""Group Mention""},{""text"":""Nail salons""}]"
0,"industry","1_industry5","[{""text"":""Real estate credit""}]"
0,"type-Comparison","1_type1",false
0,"type-Cause/Effect","1_type1",false
0,"type-Global Pattern","1_type1",true
0,"type","1_type1","[{""text"":""Global Pattern""}]"
0,"type-Comparison","1_type2",false
0,"type-Cause/Effect","1_type2",false
0,"type-Global Pattern","1_type2",true
0,"type","1_type2","[{""text"":""Global Pattern""}]"
0,"type-Comparison","1_type3",false
0,"type-Cause/Effect","1_type3",false
0,"type-Global Pattern","1_type3",true
0,"type","1_type3","[{""text"":""Global Pattern""}]"
0,"type-Comparison","1_type4",false
0,"type-Cause/Effect","1_type4",false
0,"type-Global Pattern","1_type4",true
0,"type","1_type4","[{""text"":""Global Pattern""}]"
0,"type-Comparison","1_type5",false
0,"type-Cause/Effect","1_type5",false
0,"type-Global Pattern","1_type5",true
0,"type","1_type5","[{""text"":""Global Pattern""}]"
0,"industry","2_industry1","[{""text"":""Services for the elderly and disabled""}]"
0,"industry","2_industry2","[{""text"":""Oil and gas extraction""}]"
0,"industry","2_industry3","[{""text"":""Nail salons""}]"
