postId,condition,fadeDelay,visited,revisit,time_for_charts
ik538png,nofade,500,4,1,37601
ik5f1qpt,fade,500,20,5,124936
ik5eku64,fade,500,4,10,46301
ik5gfofd,nofade,500,1,0,7079
ik4yesz9,fade,500,1,0,686
ik5f3083,fade,500,5,1,23217
ik51cjnx,fade,500,8,5,25607
ik4yt3bm,nofade,500,2,2,7060
ik5gb7kt,nofade,500,6,3,21951
ik5filfe,nofade,500,10,8,35172
ik3kxvrc,fade,500,12,17,86882
ik50tlni,fade,500,3,1,6124
ik52kl2a,nofade,500,5,4,31453
ik50ikn0,nofade,500,1,0,4495
ik4ztlkf,fade,500,10,16,67088
ik5hdz2r,nofade,500,2,0,2659
ik5fwnmj,nofade,500,8,25,175578
ik5dviuz,nofade,500,6,1,11682
ik5eh1j4,nofade,500,11,13,87204
ik52qcmh,fade,500,20,2,322931
ik4xkjkx,nofade,500,11,13,29952
ik5aoph6,nofade,500,6,2,16660
ik4ykur2,fade,500,5,0,7656
ik4yyn00,fade,500,8,5,70828
ik5euk0e,nofade,500,2,1,4727
ik52l8ce,fade,500,1,0,4224
ik51xh84,nofade,500,5,1,10005
ik5cx9jb,fade,500,20,10,44430
ik52t22q,nofade,500,4,1,16260
ik5ehrr7,fade,500,3,1,3199
ik5fwfvb,fade,500,20,9,98991
ik5c8dri,nofade,500,3,2,10422
ik5fxaed,fade,500,20,12,124079
ik5dizit,nofade,500,1,0,3447
ik5b8cg8,nofade,500,7,3,172211
ik4zlpju,nofade,500,7,6,26058
ik563799,nofade,500,9,9,23286
ik5c8496,nofade,500,2,0,10136
ik5276zt,fade,500,1,0,2361
ik5a9irh,nofade,500,4,3,26349
ik5fbwlm,fade,500,7,3,20781
ik52pvej,nofade,500,9,8,34048
ik5evr2w,fade,500,2,1,11820
ik5ftc7v,fade,500,12,4,23956
ik50uztl,fade,500,19,3,44315
ik5fdci7,fade,500,10,5,34475
ik4zte0a,nofade,500,12,17,55724
ik4xc9cz,nofade,500,10,5,87468
ik4yyknz,fade,500,19,1,65518
ik50es24,fade,500,6,1,16627
ik4xwmhu,nofade,500,9,15,166607
ik5ff4rl,nofade,500,9,8,61002
ik5frlih,nofade,500,6,5,28761
ik5a4eve,nofade,500,6,9,36192
ik5fqv9c,nofade,500,1,1,4416
ik4x71w1,fade,500,9,12,67350
ik5g2cns,fade,500,3,0,6935
ik5adtla,nofade,500,3,7,36012
ik561lp0,nofade,500,5,0,6069
ik4yncr0,fade,500,4,0,5385
ik5gh59k,nofade,500,7,3,35735
ik5ek632,fade,500,20,7,40169
ik50jjka,fade,500,20,7,62296
ik4y10sb,fade,500,20,9,57099
ik4yudpk,fade,500,3,3,11354
ik50f3jo,fade,500,8,3,19094
ik53xs1w,fade,500,1,1,4125
ik50zajk,fade,500,6,3,28227
ik56ogii,nofade,500,3,0,13737
ik5epilp,fade,500,12,5,43875
ik5f8cdb,fade,500,11,6,33982
ik52cs98,fade,500,20,6,28952
ik52daae,fade,500,12,11,82980
ik4ylyst,fade,500,11,7,25692
ik4yosd6,fade,500,8,9,123410
ik4z1j7g,nofade,500,11,10,87733
ik50c6fd,fade,500,5,0,9477
ik567r86,nofade,500,3,5,56448
ik5drkge,fade,500,10,9,48353
ik55ythv,nofade,500,2,0,1341
ik55x9bl,nofade,500,2,5,15500
ik5feb7v,fade,500,7,0,51249
ik5ff5cg,nofade,500,1,1,19137
ik5fdv4r,fade,500,7,7,15657
ik5cbrp3,fade,500,2,0,1865
ik5albcb,nofade,500,1,0,3423
ik53if1y,fade,500,4,0,9456
ik5g0fo9,fade,500,2,0,3334
ik4yzyqv,nofade,500,3,3,13335
ik4zcen3,nofade,500,15,9,34235
ik4xlfpi,fade,500,12,6,28045
ik5510cq,nofade,500,3,6,20431
