"coder","category","item","code"
0,"chart","0_chart1","[{""text"":""computers & internet""}]"
0,"chart","0_chart2","[{""text"":""work & money""}]"
0,"chart","0_chart3","[{""text"":""Group Mention""},{""text"":""clothing, beauty, & fashion""}]"
0,"year","0_year1","[]"
0,"year","0_year2","[{""text"":""2008""},{""text"":""2009""}]"
0,"year","0_year3","[{""text"":""Group Mention""}]"
0,"type-Comparison","0_type1",false
0,"type-Cause/Effect","0_type1",false
0,"type-Global Pattern","0_type1",true
0,"type","0_type1","[{""text"":""Global Pattern""}]"
0,"type-Comparison","0_type2",false
0,"type-Cause/Effect","0_type2",true
0,"type-Global Pattern","0_type2",false
0,"type","0_type2","[{""text"":""Cause/Effect""}]"
0,"type-Comparison","0_type3",false
0,"type-Cause/Effect","0_type3",false
0,"type-Global Pattern","0_type3",true
0,"type","0_type3","[{""text"":""Global Pattern""}]"
0,"chart","1_chart1","[]"
0,"chart","1_chart2","[]"
0,"chart","1_chart3","[]"
0,"chart","1_chart4","[{""text"":""computers & internet""}]"
0,"chart","1_chart5","[{""text"":""home & garden""}]"
0,"year","1_year1","[]"
0,"year","1_year2","[{""text"":""2008""},{""text"":""2010""}]"
0,"year","1_year3","[]"
0,"year","1_year4","[]"
0,"year","1_year5","[]"
0,"type-Comparison","1_type1",false
0,"type-Cause/Effect","1_type1",false
0,"type-Global Pattern","1_type1",true
0,"type","1_type1","[{""text"":""Global Pattern""}]"
0,"type-Comparison","1_type2",false
0,"type-Cause/Effect","1_type2",false
0,"type-Global Pattern","1_type2",true
0,"type","1_type2","[{""text"":""Global Pattern""}]"
0,"type-Comparison","1_type3",false
0,"type-Cause/Effect","1_type3",false
0,"type-Global Pattern","1_type3",true
0,"type","1_type3","[{""text"":""Global Pattern""}]"
0,"type-Comparison","1_type4",false
0,"type-Cause/Effect","1_type4",false
0,"type-Global Pattern","1_type4",true
0,"type","1_type4","[{""text"":""Global Pattern""}]"
0,"type-Comparison","1_type5",false
0,"type-Cause/Effect","1_type5",false
0,"type-Global Pattern","1_type5",true
0,"type","1_type5","[{""text"":""Global Pattern""}]"
