postId,condition,fadeDelay,visitedCountries,visitedYears,inspect,connect,select,filter,explore,hover,click,time_diff_exploration
iksksz03,nofade,500,0,3,0,0,0,0,4,0,4,51307
iksitnzx,fade,500,6,4,21,1,1,0,4,22,5,184032
iku35rvi,nofade,500,12,7,31,0,48,0,36,31,84,145579
iku75zit,nofade,500,6,3,10,2,7,0,2,12,9,60621
iksjjhgx,fade,500,8,9,8,0,9,0,11,8,20,55625
iksiuxlo,nofade,500,2,3,5,0,58,0,2,5,60,42812
iksit4k5,nofade,500,18,2,9,28,23,0,2,37,25,156267
iksj3bf8,nofade,500,6,2,17,11,18,0,1,28,19,117467
iku2rmbz,fade,500,5,8,14,0,24,0,8,14,32,107316
iksiwrmt,nofade,500,6,3,10,0,7,0,6,10,13,51594
iku35x92,fade,500,4,1,6,0,1,0,0,6,1,35730
iksmvvg0,fade,500,4,4,10,0,4,0,3,10,7,62560
iku2lu1s,nofade,500,11,4,31,5,37,2,3,36,42,116606
iksj92f8,fade,500,0,5,1,0,0,0,14,1,14,77976
iksimfby,nofade,500,0,12,3,0,26,0,26,3,52,101187
iksitnxa,nofade,500,4,5,4,3,2,0,4,7,6,56724
iku2qvpu,nofade,500,2,4,4,0,21,0,6,4,27,57077
iku3jaje,fade,500,1,4,2,0,4,0,10,2,14,56992
iksma1gf,nofade,500,10,3,21,0,8,0,9,21,17,113180
iku31ctr,fade,500,3,1,14,0,87,0,0,14,87,48430
iksj4y2t,fade,500,3,5,12,0,23,0,5,12,28,75755
iksykhc4,fade,500,5,6,6,0,18,4,6,6,28,83151
ikswuh6a,fade,500,7,3,11,3,6,0,2,14,8,91638
iksjaezl,fade,500,0,5,1,1,0,0,7,2,7,31790
iku36qu6,nofade,500,5,2,12,0,40,0,3,12,43,639948
iksio8fl,nofade,500,15,1,22,19,1,5,0,41,6,135674
iku2nld7,fade,500,8,1,32,4,10,0,0,36,10,122113
iksj88z3,fade,500,3,1,8,0,3,0,0,8,3,58741
iksxjgmh,fade,500,2,1,2,0,0,0,0,2,0,23932
